Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Cluster
19,19,Male,Jacket,Outerwear,68.31,California,S,Green,Winter,3.5,No,Next Day Air,No,Yes,4,Venmo,Weekly,1
20,41,Male,Sandals,Accessories,135.14,Illinois,XL,Green,Fall,5.0,No,Next Day Air,No,No,15,Debit Card,Weekly,5
21,61,Female,Shirt,Clothing,88.15,California,XL,Blue,Spring,2.4,No,Standard,Yes,No,16,Cash,Bi-Weekly,1
22,47,Male,Sandals,Clothing,187.01,Texas,S,White,Winter,1.2,No,Free,Yes,Yes,31,PayPal,Quarterly,3
23,55,Female,Sandals,Accessories,236.17,Texas,XL,White,Spring,3.9,Yes,Next Day Air,Yes,No,37,Credit Card,Monthly,5
24,19,Female,Pants,Accessories,379.44,Florida,S,Blue,Winter,3.1,No,Standard,Yes,Yes,31,Credit Card,Annually,3
25,38,Male,Blouse,Footwear,332.55,California,M,White,Spring,1.9,Yes,Next Day Air,Yes,Yes,19,PayPal,Quarterly,3
26,50,Male,Shirt,Accessories,318.05,Florida,XL,Red,Fall,4.1,Yes,Standard,Yes,No,47,Credit Card,Bi-Weekly,5
27,29,Male,Shirt,Footwear,189.14,California,XL,White,Summer,1.8,No,Next Day Air,Yes,No,1,Venmo,Quarterly,1
28,39,Female,Sandals,Clothing,423.89,Florida,XL,White,Spring,3.0,No,Next Day Air,No,No,19,Venmo,Bi-Weekly,7
29,61,Male,Blouse,Footwear,246.22,Texas,M,Blue,Summer,1.4,No,Express,Yes,No,46,Cash,Weekly,0
30,42,Female,Sneakers,Accessories,489.97,Illinois,S,Black,Spring,2.6,Yes,Standard,No,No,17,Cash,Weekly,7
31,66,Male,Shirt,Clothing,324.39,Florida,L,White,Spring,2.7,Yes,Standard,No,No,0,Debit Card,Quarterly,1
32,44,Female,Sneakers,Outerwear,80.61,California,XL,White,Spring,3.1,Yes,Standard,Yes,Yes,28,Cash,Monthly,5
33,59,Female,Blouse,Footwear,344.57,California,S,Black,Spring,3.8,Yes,Standard,Yes,Yes,28,Venmo,Annually,5
34,45,Male,Sneakers,Clothing,176.05,Texas,M,Blue,Spring,4.6,No,Next Day Air,No,Yes,18,Cash,Bi-Weekly,5
35,33,Female,Dress,Footwear,349.44,California,L,Black,Summer,1.6,Yes,Express,Yes,No,43,Credit Card,Annually,3
36,32,Female,Pants,Clothing,53.43,New York,XL,Blue,Spring,1.2,Yes,Express,Yes,No,39,Debit Card,Weekly,3
37,64,Male,Boots,Clothing,103.94,Illinois,M,Red,Summer,1.1,No,Free,No,No,5,Debit Card,Monthly,1
38,68,Female,Shirt,Footwear,430.75,Florida,M,Blue,Fall,1.6,Yes,Standard,No,Yes,43,Venmo,Monthly,0
39,61,Male,Jacket,Outerwear,129.05,Illinois,L,Red,Winter,3.6,Yes,Free,No,Yes,38,Cash,Annually,5
40,69,Female,Pants,Clothing,421.78,Texas,S,Red,Spring,3.9,No,Next Day Air,Yes,No,49,Credit Card,Weekly,0
41,20,Male,Boots,Clothing,154.05,Florida,XL,Blue,Winter,4.1,Yes,Free,Yes,No,45,Cash,Annually,5
42,54,Male,Sneakers,Clothing,328.58,Florida,XL,Green,Summer,2.0,Yes,Standard,No,No,7,PayPal,Quarterly,1
43,68,Female,Shirt,Outerwear,353.19,New York,S,Blue,Fall,3.0,Yes,Express,Yes,No,23,Cash,Monthly,0
44,24,Female,Sneakers,Outerwear,266.07,Texas,S,White,Fall,2.9,Yes,Express,No,Yes,19,Venmo,Monthly,3
45,38,Female,Dress,Accessories,166.55,California,S,White,Fall,1.3,No,Standard,Yes,Yes,13,Cash,Quarterly,1
46,26,Female,Blouse,Footwear,122.07,New York,L,Green,Winter,3.4,Yes,Next Day Air,No,Yes,4,Debit Card,Weekly,1
47,56,Female,Shirt,Outerwear,35.93,New York,L,Red,Summer,4.9,No,Standard,Yes,No,40,Credit Card,Monthly,5
48,35,Male,Boots,Footwear,165.89,Illinois,XL,Green,Spring,2.4,Yes,Next Day Air,No,Yes,39,Venmo,Bi-Weekly,3
49,21,Female,Boots,Accessories,333.52,Illinois,L,White,Spring,4.0,No,Express,Yes,No,33,PayPal,Bi-Weekly,3
50,42,Male,Dress,Footwear,470.39,Illinois,M,Green,Summer,3.0,No,Next Day Air,Yes,No,15,Credit Card,Weekly,7
51,31,Male,Dress,Outerwear,438.18,New York,XL,Blue,Winter,1.5,No,Standard,No,No,44,Credit Card,Quarterly,3
52,67,Female,Sandals,Footwear,387.71,California,L,Green,Spring,3.3,Yes,Standard,Yes,Yes,6,Debit Card,Annually,7
53,26,Male,Shirt,Outerwear,398.45,Florida,S,Red,Summer,2.2,Yes,Standard,Yes,Yes,15,Debit Card,Weekly,3
54,43,Male,Sneakers,Footwear,339.19,Illinois,M,Blue,Spring,1.1,Yes,Next Day Air,No,No,6,Debit Card,Annually,1
55,19,Male,Jacket,Outerwear,144.94,California,S,Black,Fall,3.5,No,Next Day Air,Yes,Yes,26,Venmo,Weekly,3
56,37,Male,Boots,Outerwear,455.45,Texas,XL,White,Spring,4.4,Yes,Next Day Air,Yes,No,13,Cash,Bi-Weekly,7
57,45,Female,Boots,Footwear,341.95,Illinois,S,White,Winter,2.4,Yes,Express,Yes,No,13,Credit Card,Quarterly,1
58,64,Male,Dress,Accessories,289.01,Florida,L,Green,Summer,2.6,Yes,Free,No,No,43,Cash,Bi-Weekly,0
59,24,Female,Pants,Clothing,73.27,Texas,L,Blue,Winter,4.6,Yes,Free,No,Yes,32,Cash,Quarterly,5
60,61,Female,Dress,Accessories,234.59,Texas,XL,Black,Summer,4.3,No,Standard,No,Yes,32,Debit Card,Annually,5
61,25,Male,Jacket,Footwear,257.71000000000004,Florida,S,Blue,Fall,3.9,No,Express,No,No,43,Cash,Weekly,3
62,64,Female,Sneakers,Accessories,434.99,Illinois,XL,White,Summer,2.0,Yes,Next Day Air,No,Yes,19,Credit Card,Monthly,0
63,52,Female,Sneakers,Outerwear,282.39,New York,S,Blue,Spring,4.6,Yes,Standard,Yes,Yes,46,Credit Card,Monthly,5
64,31,Female,Pants,Clothing,202.59,Florida,M,Black,Spring,1.6,Yes,Express,Yes,Yes,35,PayPal,Quarterly,3
65,34,Male,Boots,Footwear,488.86,Florida,L,Green,Fall,3.5,No,Standard,No,Yes,6,Venmo,Quarterly,7
66,53,Female,Dress,Footwear,73.15,Florida,XL,Red,Summer,1.1,Yes,Express,Yes,No,31,Cash,Bi-Weekly,1
67,67,Female,Sandals,Footwear,222.82,Texas,M,Blue,Fall,3.6,No,Express,Yes,Yes,47,Venmo,Monthly,5
68,57,Female,Sneakers,Clothing,40.17,California,M,Red,Spring,2.1,No,Free,Yes,No,2,Venmo,Bi-Weekly,1
69,21,Male,Jacket,Outerwear,375.15,New York,XL,White,Winter,2.8,Yes,Standard,Yes,No,38,Venmo,Annually,3
70,19,Female,Shirt,Footwear,460.68,Illinois,XL,Green,Fall,2.4,Yes,Next Day Air,No,Yes,28,Venmo,Monthly,3
71,23,Male,Blouse,Accessories,154.42,Illinois,M,Green,Winter,1.7,Yes,Free,No,No,23,Credit Card,Annually,3
72,59,Male,Blouse,Footwear,432.0,California,S,Blue,Winter,3.5,No,Free,Yes,No,21,Cash,Weekly,7
73,21,Male,Blouse,Footwear,160.26,Florida,M,Green,Summer,4.5,No,Next Day Air,Yes,Yes,5,PayPal,Bi-Weekly,7
74,46,Male,Sandals,Footwear,457.17,New York,XL,Blue,Fall,4.8,Yes,Express,No,No,47,Venmo,Quarterly,5
75,35,Male,Boots,Footwear,381.9,Illinois,M,Blue,Winter,1.8,No,Next Day Air,Yes,No,23,PayPal,Monthly,3
76,43,Male,Dress,Outerwear,406.36,Illinois,S,Red,Winter,3.9,Yes,Standard,Yes,Yes,39,Credit Card,Bi-Weekly,5
77,61,Female,Pants,Accessories,28.64,Florida,L,Green,Summer,3.7,Yes,Next Day Air,Yes,Yes,22,Credit Card,Quarterly,5
78,51,Male,Sandals,Outerwear,482.15,California,L,Blue,Summer,2.4,No,Express,No,Yes,37,Debit Card,Weekly,0
79,27,Female,Sandals,Accessories,368.8,New York,M,Red,Spring,1.1,No,Next Day Air,No,Yes,9,Venmo,Monthly,3
80,53,Female,Sneakers,Footwear,166.28,California,S,Black,Winter,3.8,No,Express,Yes,Yes,15,Debit Card,Annually,5
81,31,Male,Shirt,Clothing,418.11,California,L,Red,Spring,4.8,No,Express,Yes,No,10,PayPal,Weekly,7
82,48,Female,Sandals,Outerwear,155.13,New York,M,Red,Winter,3.5,Yes,Standard,Yes,No,31,Cash,Quarterly,5
83,65,Female,Jacket,Clothing,438.92,New York,M,Blue,Spring,2.7,Yes,Next Day Air,Yes,Yes,44,Debit Card,Monthly,0
84,32,Female,Shirt,Outerwear,74.04,Illinois,S,White,Summer,3.1,Yes,Next Day Air,Yes,Yes,5,Credit Card,Monthly,1
85,25,Female,Jacket,Footwear,357.77,Illinois,XL,White,Fall,1.8,No,Standard,Yes,No,23,Venmo,Weekly,3
86,31,Male,Boots,Outerwear,279.54,New York,M,White,Summer,4.0,Yes,Express,No,Yes,32,PayPal,Monthly,5
87,40,Female,Dress,Footwear,66.34,Texas,XL,Red,Spring,4.0,No,Next Day Air,No,Yes,11,Credit Card,Quarterly,1
88,57,Male,Blouse,Outerwear,136.11,Illinois,XL,Blue,Spring,1.6,No,Standard,Yes,No,26,Cash,Weekly,1
89,38,Female,Sandals,Footwear,25.95,Texas,L,Green,Fall,4.5,No,Express,No,No,37,Venmo,Annually,5
90,33,Female,Dress,Footwear,245.01,New York,XL,Red,Winter,2.1,Yes,Standard,Yes,No,17,Cash,Weekly,3
91,62,Male,Boots,Accessories,164.61,Illinois,S,Red,Spring,4.9,No,Next Day Air,Yes,Yes,44,Cash,Weekly,5
92,35,Female,Pants,Footwear,307.21,California,L,Blue,Spring,2.5,No,Standard,No,No,38,Venmo,Annually,3
93,64,Female,Pants,Accessories,162.67,New York,L,Black,Spring,1.7,No,Free,No,Yes,12,Venmo,Quarterly,1
94,41,Female,Boots,Footwear,163.96,Florida,L,Red,Fall,2.4,No,Express,Yes,No,39,Cash,Bi-Weekly,3
95,43,Male,Jacket,Clothing,376.73,Texas,M,Black,Summer,2.8,No,Free,Yes,Yes,29,PayPal,Bi-Weekly,3
96,42,Female,Sneakers,Footwear,43.11,New York,M,Black,Spring,1.3,No,Free,No,Yes,48,Venmo,Annually,3
97,62,Male,Sneakers,Clothing,453.39,New York,XL,White,Fall,3.3,No,Express,No,Yes,40,Credit Card,Quarterly,0
98,58,Female,Jacket,Clothing,429.09,Illinois,L,Blue,Spring,3.4,No,Express,Yes,No,12,Debit Card,Monthly,7
99,46,Male,Pants,Footwear,340.55,Illinois,L,Black,Winter,4.0,No,Standard,Yes,No,33,PayPal,Annually,5
100,32,Male,Pants,Clothing,304.75,Illinois,S,Blue,Fall,1.1,No,Express,Yes,No,35,Venmo,Bi-Weekly,3
101,62,Female,Sandals,Accessories,448.31,Florida,XL,White,Spring,3.2,No,Free,No,Yes,29,Venmo,Quarterly,0
102,18,Female,Pants,Outerwear,108.96,Illinois,S,Blue,Fall,1.2,No,Free,Yes,No,24,PayPal,Weekly,3
103,42,Male,Dress,Footwear,57.91,New York,XL,Red,Spring,3.8,Yes,Next Day Air,No,No,1,Debit Card,Quarterly,1
104,24,Male,Pants,Clothing,134.96,Illinois,XL,Black,Summer,1.2,Yes,Express,Yes,Yes,35,Cash,Quarterly,3
105,26,Female,Shirt,Footwear,401.4,California,M,Blue,Spring,4.6,No,Free,No,Yes,17,Credit Card,Bi-Weekly,7
106,41,Male,Sandals,Accessories,36.64,Illinois,M,Green,Fall,3.8,No,Next Day Air,No,No,4,Venmo,Bi-Weekly,1
107,18,Female,Blouse,Footwear,299.75,Florida,S,Blue,Winter,3.0,No,Next Day Air,No,No,18,Debit Card,Monthly,3
108,61,Female,Pants,Footwear,497.81,California,XL,Black,Winter,2.8,Yes,Standard,No,No,41,Credit Card,Monthly,0
109,25,Female,Jacket,Clothing,430.73,New York,L,White,Winter,1.5,Yes,Free,Yes,Yes,17,PayPal,Annually,3
110,41,Female,Blouse,Accessories,270.29,New York,M,White,Spring,2.2,Yes,Standard,No,No,31,Venmo,Weekly,3
111,28,Male,Dress,Outerwear,50.55,Texas,L,Black,Summer,4.5,No,Free,No,Yes,20,Cash,Monthly,5
112,68,Female,Jacket,Outerwear,419.06,California,S,Red,Spring,4.6,No,Standard,No,Yes,9,PayPal,Bi-Weekly,7
113,34,Male,Blouse,Clothing,307.51,Texas,M,Red,Winter,1.0,No,Standard,Yes,No,36,Venmo,Quarterly,3
114,25,Female,Jacket,Footwear,75.17,California,M,White,Fall,3.4,No,Express,Yes,No,48,Debit Card,Annually,3
115,52,Male,Dress,Clothing,65.05,California,XL,White,Winter,3.9,Yes,Standard,Yes,Yes,21,Credit Card,Monthly,5
116,52,Female,Sandals,Clothing,456.62,Florida,S,Black,Fall,3.5,No,Express,Yes,Yes,12,Credit Card,Quarterly,7
117,50,Male,Shirt,Clothing,341.22,Texas,XL,Red,Summer,1.3,Yes,Next Day Air,Yes,No,16,Venmo,Quarterly,1
118,22,Male,Dress,Footwear,418.06,Florida,M,White,Fall,1.9,Yes,Free,Yes,No,8,PayPal,Monthly,3
119,59,Female,Dress,Accessories,441.91,California,S,Red,Spring,2.0,No,Next Day Air,No,No,23,Cash,Weekly,0
120,56,Female,Jacket,Clothing,294.45,New York,M,White,Spring,4.3,Yes,Free,No,Yes,43,Debit Card,Weekly,5
121,58,Female,Sandals,Footwear,268.37,California,S,Blue,Spring,2.9,Yes,Next Day Air,No,Yes,13,Venmo,Annually,1
122,45,Female,Boots,Accessories,226.61,Florida,M,Green,Fall,2.9,Yes,Free,Yes,No,45,Debit Card,Weekly,5
123,24,Male,Sneakers,Clothing,172.13,Texas,L,Blue,Spring,4.7,Yes,Standard,No,Yes,7,Credit Card,Annually,7
124,26,Female,Pants,Outerwear,228.61,Texas,L,White,Spring,3.5,No,Free,No,Yes,36,Cash,Bi-Weekly,3
125,25,Male,Pants,Accessories,391.46,Florida,XL,Green,Spring,4.6,No,Free,Yes,No,18,Debit Card,Monthly,7
126,29,Male,Shirt,Clothing,257.71000000000004,Texas,L,Green,Summer,2.8,Yes,Next Day Air,No,Yes,27,Venmo,Quarterly,3
127,51,Female,Shirt,Accessories,448.41,Illinois,M,White,Fall,1.6,No,Next Day Air,Yes,No,45,Cash,Annually,0
128,50,Male,Pants,Accessories,232.82,New York,M,White,Fall,4.7,Yes,Next Day Air,No,No,40,PayPal,Weekly,5
129,65,Male,Sneakers,Accessories,311.4,New York,L,Red,Winter,2.8,No,Express,Yes,Yes,29,Venmo,Annually,0
130,40,Male,Pants,Accessories,323.03,New York,XL,White,Fall,1.7,No,Express,Yes,Yes,6,Debit Card,Annually,1
131,41,Male,Boots,Accessories,304.01,Texas,L,Black,Summer,2.2,No,Free,Yes,No,25,Cash,Weekly,3
132,54,Female,Sneakers,Accessories,357.26,Texas,S,White,Fall,1.2,No,Free,No,Yes,39,Venmo,Weekly,0
133,52,Female,Shirt,Clothing,133.97,California,S,Black,Summer,2.9,No,Standard,No,No,45,Cash,Monthly,5
134,61,Female,Blouse,Outerwear,265.93,California,S,White,Summer,4.4,Yes,Standard,Yes,Yes,45,Cash,Quarterly,5
135,57,Female,Jacket,Footwear,70.03,New York,L,Red,Fall,4.7,No,Free,Yes,Yes,10,Cash,Monthly,5
136,39,Male,Boots,Accessories,204.57,Illinois,L,Black,Winter,4.7,Yes,Express,No,Yes,13,Debit Card,Monthly,7
137,44,Male,Boots,Footwear,254.08,California,L,Blue,Spring,1.5,Yes,Free,No,No,20,Venmo,Weekly,1
138,52,Female,Sandals,Clothing,333.07,California,S,Black,Spring,2.5,No,Standard,Yes,Yes,7,Credit Card,Weekly,1
139,18,Female,Shirt,Accessories,476.25,Texas,XL,Red,Fall,1.1,Yes,Express,No,No,2,Credit Card,Quarterly,3
140,52,Female,Shirt,Outerwear,308.31,Illinois,M,Black,Fall,4.4,No,Express,No,No,27,Debit Card,Annually,5
141,54,Male,Dress,Footwear,376.93,New York,L,White,Summer,2.4,Yes,Standard,No,No,28,Debit Card,Monthly,0
142,64,Female,Boots,Accessories,263.01,California,XL,White,Fall,3.5,Yes,Free,Yes,Yes,22,Cash,Quarterly,5
143,31,Female,Dress,Clothing,324.37,Illinois,M,Red,Summer,3.9,No,Next Day Air,Yes,No,17,Venmo,Monthly,7
144,20,Female,Dress,Outerwear,54.05,Illinois,M,Green,Winter,2.7,No,Free,No,No,34,Venmo,Annually,3
145,18,Male,Jacket,Footwear,142.11,New York,M,White,Fall,2.2,No,Free,Yes,Yes,12,PayPal,Monthly,3
146,22,Male,Dress,Footwear,193.69,Illinois,XL,Blue,Spring,4.8,No,Standard,No,No,11,PayPal,Bi-Weekly,7
147,43,Male,Sneakers,Accessories,246.8,Illinois,XL,Red,Spring,4.9,Yes,Express,No,No,46,Credit Card,Quarterly,5
148,31,Male,Pants,Outerwear,41.91,Illinois,S,Black,Fall,2.2,No,Standard,Yes,Yes,49,PayPal,Weekly,3
149,56,Male,Blouse,Outerwear,87.21,California,XL,Black,Summer,2.9,Yes,Free,Yes,No,4,PayPal,Monthly,1
150,44,Male,Shirt,Outerwear,152.87,New York,XL,Blue,Spring,4.9,Yes,Next Day Air,Yes,Yes,38,Credit Card,Quarterly,5
151,26,Male,Sneakers,Outerwear,486.34,Illinois,XL,White,Summer,1.0,Yes,Next Day Air,No,No,10,Credit Card,Quarterly,3
152,32,Male,Blouse,Clothing,179.05,Illinois,M,Red,Fall,2.7,Yes,Next Day Air,No,No,10,PayPal,Monthly,1
153,32,Female,Boots,Outerwear,251.38,California,L,Blue,Fall,1.4,Yes,Standard,Yes,Yes,46,Venmo,Weekly,3
154,43,Female,Boots,Footwear,114.13,New York,S,White,Spring,3.0,Yes,Express,Yes,No,41,PayPal,Weekly,5
155,59,Male,Boots,Footwear,313.17,Texas,L,Red,Fall,1.1,No,Standard,Yes,No,46,Cash,Monthly,0
156,30,Male,Sneakers,Clothing,154.73,California,L,Black,Winter,2.6,Yes,Next Day Air,No,No,30,Cash,Quarterly,3
157,68,Female,Sneakers,Footwear,119.36,New York,XL,Red,Winter,1.9,Yes,Free,No,Yes,30,Cash,Weekly,1
158,49,Male,Shirt,Footwear,267.95,Illinois,S,Green,Spring,3.1,Yes,Express,No,Yes,12,Debit Card,Monthly,1
159,56,Male,Pants,Outerwear,22.64,New York,L,Red,Winter,5.0,No,Standard,Yes,Yes,13,Cash,Monthly,5
160,66,Male,Sandals,Footwear,23.68,New York,L,Green,Summer,4.2,No,Standard,Yes,Yes,48,Venmo,Monthly,5
161,69,Female,Dress,Clothing,125.15,New York,S,Red,Spring,4.4,Yes,Express,No,Yes,44,Debit Card,Quarterly,5
162,49,Female,Boots,Outerwear,37.63,Texas,XL,Green,Spring,3.5,No,Express,Yes,No,41,Debit Card,Weekly,5
163,21,Female,Jacket,Accessories,71.85,New York,L,Black,Summer,3.0,Yes,Free,Yes,Yes,24,Cash,Quarterly,3
164,47,Female,Pants,Outerwear,182.65,Texas,M,White,Winter,1.8,No,Express,Yes,Yes,32,PayPal,Bi-Weekly,3
165,54,Female,Jacket,Clothing,257.71000000000004,Illinois,L,Green,Winter,4.7,Yes,Free,Yes,Yes,32,Credit Card,Weekly,5
166,40,Male,Shirt,Outerwear,294.58,Texas,M,Green,Winter,2.5,No,Next Day Air,No,No,14,PayPal,Quarterly,1
167,56,Female,Shirt,Outerwear,266.08,Illinois,XL,Black,Spring,1.4,No,Next Day Air,Yes,No,15,PayPal,Weekly,1
168,62,Male,Shirt,Clothing,160.87,Illinois,L,Green,Spring,3.8,No,Standard,No,Yes,43,Debit Card,Bi-Weekly,5
169,32,Male,Blouse,Outerwear,467.24,Texas,S,Blue,Winter,2.2,Yes,Next Day Air,No,No,37,Debit Card,Annually,3
170,60,Female,Jacket,Clothing,210.57,California,S,Black,Fall,2.1,Yes,Next Day Air,Yes,No,5,Debit Card,Monthly,1
171,46,Female,Pants,Clothing,61.8,Florida,L,Blue,Winter,5.0,Yes,Free,No,No,43,Venmo,Quarterly,5
172,53,Male,Sandals,Accessories,316.19,New York,XL,Black,Summer,4.4,No,Standard,No,No,24,Venmo,Bi-Weekly,5
173,30,Male,Pants,Footwear,74.64,Florida,XL,Green,Spring,2.6,No,Express,Yes,Yes,14,Credit Card,Bi-Weekly,1
174,49,Male,Sneakers,Footwear,185.71,New York,S,Blue,Summer,4.9,Yes,Standard,No,Yes,3,Debit Card,Weekly,7
175,24,Female,Sneakers,Outerwear,263.56,New York,L,Green,Summer,3.6,No,Next Day Air,No,No,3,Cash,Weekly,7
176,68,Female,Boots,Outerwear,439.63,Illinois,XL,Black,Spring,4.0,Yes,Express,No,No,29,Debit Card,Monthly,0
177,39,Female,Sandals,Accessories,256.9,New York,S,Green,Fall,1.1,Yes,Standard,No,No,33,Venmo,Weekly,3
178,45,Female,Sneakers,Accessories,357.08,New York,M,Blue,Winter,1.5,Yes,Standard,No,No,26,Debit Card,Quarterly,3
179,19,Female,Shirt,Accessories,496.55,Texas,L,Blue,Summer,3.5,Yes,Standard,No,Yes,30,Venmo,Quarterly,7
180,59,Male,Pants,Clothing,83.11,Florida,M,Green,Spring,4.6,No,Standard,No,No,31,Debit Card,Quarterly,5
181,62,Female,Jacket,Accessories,151.87,Texas,M,Red,Summer,3.5,No,Free,No,Yes,43,Cash,Annually,5
182,23,Male,Shirt,Accessories,209.4,New York,XL,Black,Winter,1.5,No,Standard,Yes,No,38,Credit Card,Quarterly,3
183,45,Male,Blouse,Outerwear,222.48,Illinois,XL,Black,Fall,1.5,Yes,Next Day Air,Yes,Yes,8,Cash,Weekly,1
184,45,Male,Sneakers,Accessories,217.29,Texas,XL,Green,Fall,4.4,No,Next Day Air,Yes,No,40,Venmo,Weekly,5
185,61,Female,Shirt,Clothing,455.65,Texas,L,Red,Fall,1.6,Yes,Free,No,Yes,7,PayPal,Quarterly,8
186,61,Female,Shirt,Clothing,362.74,California,M,Blue,Spring,3.1,Yes,Express,No,Yes,13,Cash,Bi-Weekly,7
187,37,Female,Blouse,Outerwear,311.79,New York,L,White,Spring,1.1,Yes,Express,No,Yes,32,Debit Card,Bi-Weekly,3
188,47,Male,Dress,Accessories,168.5,Illinois,XL,White,Fall,1.3,Yes,Next Day Air,Yes,No,22,Credit Card,Bi-Weekly,1
189,28,Male,Pants,Accessories,415.42,Texas,M,Green,Winter,3.7,Yes,Next Day Air,Yes,Yes,20,Debit Card,Monthly,7
190,45,Male,Jacket,Clothing,478.43,Texas,L,Red,Winter,3.8,Yes,Free,Yes,No,11,Debit Card,Annually,7
191,42,Male,Boots,Accessories,414.18,Illinois,L,Red,Spring,2.4,No,Express,No,Yes,1,Cash,Quarterly,7
192,56,Male,Dress,Accessories,20.75,New York,S,Black,Fall,1.9,No,Express,Yes,Yes,12,Credit Card,Monthly,1
193,50,Male,Sneakers,Accessories,325.47,California,L,Blue,Winter,4.3,No,Standard,Yes,No,3,PayPal,Bi-Weekly,7
194,18,Female,Shirt,Footwear,44.54,Texas,XL,Red,Winter,1.9,No,Standard,No,Yes,19,Debit Card,Quarterly,3
195,44,Female,Sandals,Outerwear,143.65,California,L,White,Winter,3.2,Yes,Standard,Yes,No,49,Credit Card,Monthly,5
196,69,Female,Blouse,Footwear,48.57,Florida,M,Blue,Spring,4.9,Yes,Free,No,No,47,PayPal,Weekly,5
197,30,Female,Blouse,Outerwear,309.82,New York,L,Blue,Fall,1.6,No,Next Day Air,Yes,No,13,Debit Card,Bi-Weekly,3
198,58,Male,Sandals,Clothing,349.56,Florida,S,Green,Summer,4.8,No,Free,No,No,29,Credit Card,Monthly,5
199,20,Male,Pants,Accessories,74.95,Florida,M,Red,Fall,1.7,No,Express,No,Yes,28,Cash,Weekly,3
200,56,Female,Dress,Outerwear,204.24,Florida,M,Green,Fall,3.3,No,Next Day Air,No,Yes,7,Debit Card,Bi-Weekly,1
201,23,Male,Boots,Footwear,238.99,New York,S,Red,Spring,2.5,No,Standard,No,No,11,Debit Card,Annually,3
202,25,Female,Pants,Accessories,197.15,New York,XL,Black,Winter,4.9,No,Free,No,Yes,40,Credit Card,Bi-Weekly,5
203,44,Female,Sandals,Clothing,78.09,Illinois,M,Green,Winter,2.1,No,Free,Yes,Yes,37,Debit Card,Annually,3
204,26,Female,Shirt,Outerwear,221.09,California,XL,Green,Spring,2.6,No,Standard,No,No,25,PayPal,Annually,3
205,54,Male,Sandals,Outerwear,380.57,California,M,White,Spring,4.9,Yes,Free,No,Yes,49,Debit Card,Annually,5
206,50,Female,Pants,Outerwear,54.08,Illinois,M,Green,Spring,3.1,Yes,Standard,No,No,1,Venmo,Quarterly,1
207,68,Female,Jacket,Accessories,58.49,Illinois,XL,Red,Spring,3.0,Yes,Express,No,Yes,39,PayPal,Quarterly,5
208,59,Female,Blouse,Footwear,190.29,Florida,M,White,Spring,2.0,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1
